date,scenario,scenario_type,scenario_param,pf_revenue,actual_revenue,revenue_loss,revenue_loss_pct,status
2022-06-01,noise_5pct,noise,0.05,409695.7483425,405222.3185522175,4473.429790282506,1.0918907038651473,Optimal
2022-06-02,noise_5pct,noise,0.05,442662.2013725,434923.113144681,7739.088227819011,1.748305638887512,Optimal
2022-06-03,noise_5pct,noise,0.05,360881.45408150007,357278.5436143169,3602.910467183159,0.9983639853018027,Optimal
2022-06-04,noise_5pct,noise,0.05,648294.1762885,646108.5908583353,2185.585430164705,0.3371286539510867,Optimal
2022-06-05,noise_5pct,noise,0.05,587006.0213395,587006.020705295,0.0006342049455270171,1.0804062010808902e-07,Optimal
2022-06-06,noise_5pct,noise,0.05,216784.4451144999,201479.80830797047,15304.636806529423,7.059840847181592,Optimal
2022-06-07,noise_5pct,noise,0.05,222572.23422,218472.23407835703,4100.000141642988,1.8420986588966755,Optimal
2022-06-08,noise_5pct,noise,0.05,159631.98807799994,143258.86761772176,16373.12046027818,10.25679167278045,Optimal
2022-06-09,noise_5pct,noise,0.05,235209.80013149997,230504.34490886482,4705.455222635152,2.0005353603482714,Optimal
2022-06-10,noise_5pct,noise,0.05,209972.51791849989,207170.73821956126,2801.779698938626,1.3343554321838096,Optimal
2022-06-11,noise_5pct,noise,0.05,227236.7052930001,199206.5755569587,28030.12973604139,12.33521217441487,Optimal
2022-06-12,noise_5pct,noise,0.05,209436.6773935001,198962.62442856995,10474.05296493016,5.0010595542685135,Optimal
2022-06-13,noise_5pct,noise,0.05,270757.6205240001,260675.14293159137,10082.477592408715,3.72380196461174,Optimal
2022-06-14,noise_5pct,noise,0.05,230477.916476,225833.31652574806,4644.599950251955,2.015203895135699,Optimal
2022-06-15,noise_5pct,noise,0.05,168444.93219949992,158797.41938518535,9647.51281431457,5.727398674653158,Optimal
2022-06-16,noise_5pct,noise,0.05,241992.13253049995,227422.85730884355,14569.275221656397,6.020557391393759,Optimal
2022-06-17,noise_5pct,noise,0.05,223129.49922200004,220879.49910698278,2250.000115017261,1.0083830792712218,Optimal
2022-06-18,noise_5pct,noise,0.05,242263.53223850008,242263.53218934877,4.9151305574923754e-05,2.0288363304525748e-08,Optimal
2022-06-19,noise_5pct,noise,0.05,725201.6357735,725067.3214417981,134.31433170184027,0.018520963698403774,Optimal
2022-06-20,noise_5pct,noise,0.05,269650.49814250006,252300.8916657412,17349.60647675887,6.4341088172550895,Optimal
2022-06-21,noise_5pct,noise,0.05,226724.100661,210421.30406113825,16302.796599861758,7.190588275499592,Optimal
2022-06-22,noise_5pct,noise,0.05,279442.38360699994,221933.90864752416,57508.474959475774,20.57972531480912,Optimal
2022-06-23,noise_5pct,noise,0.05,234215.50713700004,203252.08154255664,30963.425594443397,13.220057874448047,Optimal
2022-06-24,noise_5pct,noise,0.05,584430.4128004999,574012.7748669977,10417.637933502207,1.7825283738371007,Optimal
2022-06-25,noise_5pct,noise,0.05,589146.6945080003,574102.6559597914,15044.03854820889,2.5535301629371356,Optimal
2022-06-26,noise_5pct,noise,0.05,796157.2000760001,783587.3305053243,12569.869570675772,1.5788175462679819,Optimal
2022-06-27,noise_5pct,noise,0.05,1403261.6760129998,1378843.7234337796,24417.95257922029,1.7400854734804345,Optimal
2022-06-28,noise_5pct,noise,0.05,1412084.7782784998,1391998.8868010517,20085.891477448167,1.4224281563275025,Optimal
2022-06-29,noise_5pct,noise,0.05,4004386.0667045,3960557.090950692,43828.97575380793,1.0945242297748272,Optimal
2022-06-30,noise_5pct,noise,0.05,2843494.8523675003,2830524.610311279,12970.242056221236,0.4561373496217931,Optimal
2022-07-01,noise_5pct,noise,0.05,5090012.0662115,5073186.277059365,16825.78915213514,0.3305648185753436,Optimal
2022-07-02,noise_5pct,noise,0.05,1359925.251898,1359925.2509947824,0.0009032175876200199,6.641670829771201e-08,Optimal
2022-07-03,noise_5pct,noise,0.05,960064.4906120002,957945.4968567138,2118.993755286443,0.2207136891330784,Optimal
2022-07-04,noise_5pct,noise,0.05,1666193.4724404998,1654740.1041853293,11453.368255170528,0.6873972587585881,Optimal
2022-07-05,noise_5pct,noise,0.05,975012.2909065,975012.2902802738,0.0006262261886149645,6.422751738162624e-08,Optimal
2022-07-06,noise_5pct,noise,0.05,587223.1477815,559016.7341485333,28206.413632966694,4.803355204836378,Optimal
2022-07-07,noise_5pct,noise,0.05,542918.7413815,535218.9951005855,7699.746280914522,1.4182133888621902,Optimal
2022-07-08,noise_5pct,noise,0.05,454161.7416095,438429.8321739139,15731.90943558613,3.4639442282905533,Optimal
2022-07-09,noise_5pct,noise,0.05,330986.87029999995,322438.001744311,8548.86855568894,2.5828421979217526,Optimal
2022-07-10,noise_5pct,noise,0.05,605372.337172,551506.4806213237,53865.85655067628,8.897971255559993,Optimal
2022-07-11,noise_5pct,noise,0.05,733955.3894125,709935.1811120833,24020.208300416707,3.2727068493418736,Optimal
2022-07-12,noise_5pct,noise,0.05,699953.9524269999,674857.00247816,25096.94994883996,3.5855144273161867,Optimal
2022-07-13,noise_5pct,noise,0.05,552933.3279830001,518123.09704964346,34810.23093335662,6.2955566560507386,Optimal
2022-07-14,noise_5pct,noise,0.05,383727.171451,376879.5739238206,6847.597527179401,1.7844963913517926,Optimal
2022-07-15,noise_5pct,noise,0.05,467187.54144700005,458170.6368459111,9016.904601088958,1.9300396096097263,Optimal
2022-07-16,noise_5pct,noise,0.05,460148.59436,460126.20837356517,22.385986434819642,0.00486494726034213,Optimal
2022-07-17,noise_5pct,noise,0.05,1035630.673016,1032428.184518712,3202.4884972879663,0.3092307499894308,Optimal
2022-07-18,noise_5pct,noise,0.05,566612.638321,546276.0337925806,20336.60452841944,3.589154768711363,Optimal
2022-07-19,noise_5pct,noise,0.05,451815.551152,444366.31338873395,7449.237763266021,1.6487342554439757,Optimal
2022-07-20,noise_5pct,noise,0.05,847375.9612270002,841436.4458057368,5939.515421263408,0.7009303653909407,Optimal
2022-07-21,noise_5pct,noise,0.05,566412.6677870001,510824.3746193269,55588.29316767317,9.814097799906055,Optimal
2022-07-22,noise_5pct,noise,0.05,404541.24724350026,370719.8559342297,33821.39130927058,8.360430868230578,Optimal
2022-07-23,noise_5pct,noise,0.05,611318.8553810001,588900.3703370434,22418.485043956665,3.6672327127852955,Optimal
2022-07-24,noise_5pct,noise,0.05,929327.8556475,919825.3124074513,9502.54324004869,1.022517853339055,Optimal
2022-07-25,noise_5pct,noise,0.05,769731.2513344999,747663.7861390694,22067.46519543056,2.866905190242921,Optimal
2022-07-26,noise_5pct,noise,0.05,892234.2686920001,854529.6023416622,37704.66635033791,4.225870679189703,Optimal
2022-07-27,noise_5pct,noise,0.05,918545.9408734998,896971.6615221516,21574.27935134829,2.348742549646676,Optimal
2022-07-28,noise_5pct,noise,0.05,926665.8383965,913235.9070491109,13429.931347389123,1.4492744623701936,Optimal
2022-07-29,noise_5pct,noise,0.05,1122053.9583555,1067177.733454954,54876.224900545785,4.890693936053953,Optimal
2022-07-30,noise_5pct,noise,0.05,507753.3673665,498903.36688314617,8850.000483353855,1.7429722877575444,Optimal
2022-07-31,noise_5pct,noise,0.05,653740.4983425001,630132.4165358746,23608.081806625472,3.611231347374322,Optimal
2022-08-01,noise_5pct,noise,0.05,1178244.993507,1168594.9921511926,9650.001355807297,0.8190148406304233,Optimal
2022-08-02,noise_5pct,noise,0.05,1405290.2731555,1400925.0922322224,4365.180923277512,0.31062485855507593,Optimal
2022-08-03,noise_5pct,noise,0.05,5271257.0806715,5198707.07427734,72550.00639415998,1.3763321591766855,Optimal
2022-08-04,noise_5pct,noise,0.05,2537226.2115329998,2519830.506330207,17395.70520279277,0.6856190088105008,Optimal
2022-08-05,noise_5pct,noise,0.05,884438.0845004999,872175.6486933902,12262.435807109694,1.3864662797775262,Optimal
2022-08-06,noise_5pct,noise,0.05,447216.5845770001,438740.61266308435,8475.971913915768,1.8952722699076034,Optimal
2022-08-07,noise_5pct,noise,0.05,641271.4566219999,616426.7701913827,24844.68643061712,3.8742854019248707,Optimal
2022-08-08,noise_5pct,noise,0.05,1124608.3152335002,1093270.5242057345,31337.79102776572,2.786551602302453,Optimal
2022-08-09,noise_5pct,noise,0.05,1691512.209622,1676391.828795011,15120.380826989189,0.8938972323686697,Optimal
2022-08-10,noise_5pct,noise,0.05,1108838.6679995002,1078415.8293301484,30422.838669351768,2.7436668243396323,Optimal
2022-08-11,noise_5pct,noise,0.05,853538.9069005002,841155.7790783783,12383.127822121838,1.4507982848830323,Optimal
2022-08-12,noise_5pct,noise,0.05,798016.155479,779521.1587027473,18494.996776252636,2.3176218487896687,Optimal
2022-08-13,noise_5pct,noise,0.05,412952.0164400001,395126.57576821424,17825.44067178585,4.316588843773282,Optimal
2022-08-14,noise_5pct,noise,0.05,795712.8257684999,788437.6158403684,7275.2099281314295,0.9143009503591988,Optimal
2022-08-15,noise_5pct,noise,0.05,456977.804887,449067.6588091018,7910.146077898215,1.7309694241833495,Optimal
2022-08-16,noise_5pct,noise,0.05,968358.208352,946508.4369242864,21849.771427713567,2.2563728214684717,Optimal
2022-08-17,noise_5pct,noise,0.05,896583.4199350001,858633.8453487383,37949.57458626188,4.232687527169878,Optimal
2022-08-18,noise_5pct,noise,0.05,581917.5252575,556839.6896120195,25077.835645480547,4.309517166437553,Optimal
2022-08-19,noise_5pct,noise,0.05,678847.9346255,657764.9513451896,21082.983280310407,3.105700438190367,Optimal
2022-08-20,noise_5pct,noise,0.05,502105.5627054999,469130.86276003096,32974.69994546892,6.567284331165553,Optimal
2022-08-21,noise_5pct,noise,0.05,580275.7042635,580275.703944657,0.000318843056447804,5.49468216754805e-08,Optimal
2022-08-22,noise_5pct,noise,0.05,882625.1985510002,877346.5950169017,5278.603534098482,0.5980571983175111,Optimal
2022-08-23,noise_5pct,noise,0.05,1011479.741274,994889.351439964,16590.389834036003,1.6402097992728681,Optimal
2022-08-24,noise_5pct,noise,0.05,956270.0773815,947678.9504167207,8591.126964779338,0.8983996433626714,Optimal
