scenario,scenario_type,scenario_param,mean_pf_revenue,mean_actual_revenue,mean_revenue_loss,mean_revenue_loss_pct,median_revenue_loss_pct,std_revenue_loss_pct,p95_revenue_loss_pct,max_revenue_loss_pct,total_actual_revenue,total_pf_revenue,n_days,n_infeasible,RER,total_revenue_loss_pct
noise_10pct,noise,0.1,286106.92175758304,261685.14902389373,24421.772733689315,87.28136324270235,9.3303875039158,1920.3915769974483,67.5272293052291,64161.315192115195,294657477.80090433,322156393.8990385,1126,0,0.9146410978676645,8.535890213233554
noise_20pct,noise,0.2,286106.92175758304,223766.8575984186,62340.06415916443,170.86906221504333,28.28497636142673,3637.5322224194,146.97968613399348,121562.66238367204,251961481.65581936,322156393.8990385,1126,0,0.7821092066692995,21.78907933307005
noise_40pct,noise,0.4,286106.92175758304,157617.2884965548,128489.63326102824,167.85949983770874,59.33156758698935,2460.5063999675435,184.29355200671992,81933.79662886234,177477066.8471207,322156393.8990385,1126,0,0.5509034438184727,44.90965561815273
noise_5pct,noise,0.05,286106.92175758304,276538.6647132565,9568.257044326541,45.5628540497719,3.529836201019747,997.3256906967706,25.575590910608312,32927.274765247756,311382536.46712685,322156393.8990385,1126,0,0.9665570585096377,3.344294149036231
shift_+1h,peak_shift,1.0,286106.92175758304,258904.50122623608,27202.420531346972,16.296595146045675,7.817363676946737,57.33514250352481,46.782309275555505,1619.0476190477661,291526468.38074183,322156393.8990385,1126,0,0.9049221865579491,9.50778134420509
shift_+2h,peak_shift,2.0,286106.92175758304,238439.31206106007,47667.609696522995,30.156852806364988,15.233088629727709,155.575433913842,82.27726117774816,5019.047619048091,268482665.38075364,322156393.8990385,1126,0,0.8333923226893774,16.660767731062265
shift_+3h,peak_shift,3.0,286106.92175758304,205507.12051919883,80599.80123838421,47.178735689613895,29.192571819155063,222.55141037556427,113.95924603526976,7204.7619047625785,231401017.7046179,322156393.8990385,1126,0,0.7182878318942734,28.171216810572663
shift_-1h,peak_shift,-1.0,286106.92175758304,256739.47181292443,29367.449944658616,25.734470593758452,9.341823729502075,314.08173857187955,55.79750682146786,10523.809523810532,289088645.2613529,322156393.8990385,1126,0,0.8973549826608477,10.264501733915232
shift_-2h,peak_shift,-2.0,286106.92175758304,217578.6209862292,68528.30077135385,51.58293008161863,25.40241597900262,499.1805675008807,104.9156812682468,16676.190476192092,244993527.23049405,322156393.8990385,1126,0,0.760480101808171,23.951989819182895
shift_-3h,peak_shift,-3.0,286106.92175758304,172146.12770100546,113960.79405657756,58.366607420495,45.956940748330226,84.46070735745496,132.95114714313308,2165.7534246575647,193836539.79133216,322156393.8990385,1126,0,0.6016845962463782,39.83154037536218
spike_under_20pct,spike_underestimate,0.2,286106.92175758304,279836.40713395434,6270.514623628694,3.063905027443939,6.482186055001893e-08,29.862025166075412,16.131807655578946,950.6894470495367,315095794.4328326,322156393.8990385,1126,0,0.9780833172958268,2.191668270417324
spike_under_40pct,spike_underestimate,0.4,286106.92175758304,241019.6972547692,45087.224502813835,13.92930560341269,6.663099848395462e-08,62.001627327019406,93.73199963432677,1691.4759273875272,271388179.10887015,322156393.8990385,1126,0,0.8424112767847819,15.75887232152181
spike_under_60pct,spike_underestimate,0.6,286106.92175758304,166658.83914023932,119448.08261734374,26.69064320047158,6.68734294516797e-08,75.01944052243279,159.83626868825718,1691.4759273875272,187657852.87190947,322156393.8990385,1126,0,0.5825054427779573,41.74945572220427
